date,close,high,low,open,volume,ticker,day_of_week,day_of_month,week_of_year,month,quarter,year,is_month_start,is_month_end,is_week_start,is_week_end,close_lag_1,close_lag_2,close_lag_3,close_lag_5,close_lag_10,high_lag_1,high_lag_2,high_lag_3,high_lag_5,high_lag_10,low_lag_1,low_lag_2,low_lag_3,low_lag_5,low_lag_10,volume_lag_1,volume_lag_2,volume_lag_3,volume_lag_5,volume_lag_10,future_return_1d,future_return_2d,future_return_5d,future_return_10d,past_return_1d,past_return_2d,past_return_5d,past_return_10d,daily_range,daily_range_abs,gap,close_to_open,close_to_high,close_to_low,volatility_5d,volatility_10d,volatility_21d,atr_5d,atr_10d,atr_21d,momentum_5d,momentum_10d,momentum_21d,volume_change_5d,volume_change_10d,volume_change_21d,close_to_ma_5d,close_to_ma_10d,close_to_ma_21d,volume_change_rate
2010-03-11,6.7629804611206055,6.7629804611206055,6.6976004849702235,6.715295607529197,405700400,AAPL,3,11,10,3,1,2010,0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878305700952712,-0.7361490144749405,-0.37695133285642335,0.5099768046219921,0.0,0.0,0.0,0.0,0.9667331811209857,0.06537997615038194,0.0,0.7100931422578657,0.0,0.9761701417858251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-12,6.7959723472595215,6.829861809334242,6.770479770830132,6.819064783843508,416323600,AAPL,4,12,10,3,1,2010,0,0,False,True,6.7629804611206055,0.0,0.0,0.0,0.0,6.7629804611206055,0.0,0.0,0.0,0.0,6.6976004849702235,0.0,0.0,0.0,0.0,405700400.0,0.0,0.0,0.0,0.0,-1.2180376246817448,-0.9488228017215938,-1.9197123922104042,1.8975684223059952,0.4878305700952712,0.0,0.0,0.0,0.8737828153178895,0.0593820385041095,0.8292841158616902,-0.3386452147910376,-0.4961954285576323,0.37652540576550225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02618483984733566
2010-03-15,6.713194847106934,6.762979112088277,6.6055265486908485,6.759380905675273,493502800,AAPL,0,15,11,3,1,2010,0,0,True,False,6.7959723472595215,6.7629804611206055,0.0,0.0,0.0,6.829861809334242,6.7629804611206055,0.0,0.0,0.0,6.770479770830132,6.6976004849702235,0.0,0.0,0.0,416323600.0,405700400.0,0.0,0.0,0.0,0.2725343944244507,0.12511906376988513,0.40654639420567573,3.8197006944587386,-1.2180376246817448,-0.7361490144749405,0.0,0.0,2.345419237537593,0.1574525633974284,-0.5384283471813165,-0.6832882953757,-0.7361292140080401,1.6299729873528988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18538271671363327
2010-03-16,6.731490612030029,6.747385830812531,6.673308249083255,6.723393244178866,446908000,AAPL,1,16,11,3,1,2010,0,0,False,False,6.713194847106934,6.7959723472595215,6.7629804611206055,0.0,0.0,6.762979112088277,6.829861809334242,6.7629804611206055,0.0,0.0,6.6055265486908485,6.770479770830132,6.6976004849702235,0.0,0.0,493502800.0,416323600.0,405700400.0,0.0,0.0,-0.14701466512724304,0.08908434174810242,1.7420111512684855,5.079032956035356,0.2725343944244507,-0.9488228017215938,0.0,0.0,1.1004632703028687,0.07407758172927625,0.1519157019005283,0.12043573173670648,-0.23557595757922972,0.8718668578626975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09441648558022364
2010-03-17,6.721594333648682,6.791473078739215,6.696102158046439,6.74498708766095,450956800,AAPL,2,17,11,3,1,2010,0,0,False,False,6.731490612030029,6.713194847106934,6.7959723472595215,0.0,0.0,6.747385830812531,6.762979112088277,6.829861809334242,0.0,0.0,6.673308249083255,6.6055265486908485,6.770479770830132,0.0,0.0,446908000.0,493502800.0,416323600.0,0.0,0.0,0.23644661807911138,-0.8344018833437827,2.3424602579204867,4.854490978245574,-0.14701466512724304,0.12511906376988513,0.0,0.0,1.4188734987374048,0.0953709206927762,0.20049757785891376,-0.34681688353506185,-1.0289188263042608,0.380701712736116,0.0,0.0,0.0,0.09843112507094869,0.0,0.0,0.0,0.0,0.0,1.8700893235521487,0.0,0.0,-0.3476949567971621,0.0,0.0,0.009059582732911409
2010-03-18,6.737487316131592,6.747984020171499,6.676305394243688,6.7209914658367875,342109600,AAPL,3,18,11,3,1,2010,0,0,False,False,6.721594333648682,6.731490612030029,6.713194847106934,6.7629804611206055,0.0,6.791473078739215,6.747385830812531,6.762979112088277,6.7629804611206055,0.0,6.696102158046439,6.673308249083255,6.6055265486908485,6.6976004849702235,0.0,450956800.0,446908000.0,493502800.0,405700400.0,0.0,-1.0683224890274179,0.04452375821284438,0.8902840751659591,5.038941479673609,0.23644661807911138,0.08908434174810242,-0.37695133285642335,0.0,1.0638777123363312,0.07167862592781127,-0.008969119259044301,0.24543775094275438,-0.15555318460342663,0.9164038832114427,0.6793874792190249,0.0,0.0,0.09969085502643456,0.0,0.0,-0.37695133285642335,0.0,0.0,-20.432255862961814,0.0,0.0,-0.036507331265267506,0.0,0.0,-0.24136946155374528
2010-03-19,6.665509223937988,6.755182491732861,6.6349180607123674,6.741686614075933,559445600,AAPL,4,19,11,3,1,2010,0,0,False,True,6.737487316131592,6.721594333648682,6.731490612030029,6.7959723472595215,0.0,6.747984020171499,6.791473078739215,6.747385830812531,6.829861809334242,0.0,6.676305394243688,6.696102158046439,6.673308249083255,6.770479770830132,0.0,342109600.0,450956800.0,446908000.0,416323600.0,0.0,1.1248634160851534,2.7491478751856535,3.8919959429372986,7.307069541940803,-1.0683224890274179,-0.8344018833437827,-1.9197123922104042,0.0,1.8042797178733982,0.12026443102049367,0.06232735955267249,-1.1299455833336154,-1.3274736530747604,0.46106316529757363,0.7134538585693139,0.0,0.0,0.11036747158780606,0.0,0.0,-1.9197123922104042,0.0,0.0,21.993989505446933,0.0,0.0,-0.7200936081207532,0.0,0.0,0.6352817927354275
2010-03-22,6.740487098693848,6.777976360460379,6.602528345223085,6.612125698743767,456419600,AAPL,0,22,12,3,1,2010,0,0,True,False,6.665509223937988,6.737487316131592,6.721594333648682,6.713194847106934,0.0,6.755182491732861,6.747984020171499,6.791473078739215,6.762979112088277,0.0,6.6349180607123674,6.676305394243688,6.696102158046439,6.6055265486908485,0.0,559445600.0,342109600.0,450956800.0,493502800.0,0.0,1.6062167148916506,2.0556067965182834,3.399334428706191,6.58064127274911,1.1248634160851534,0.04452375821284438,0.40654639420567573,0.0,2.6028981684616133,0.17544801523729348,-0.8008919258937368,1.9413030816166774,-0.5531040501295674,2.089483698628501,0.7942600784323547,0.0,0.0,0.10736791492153017,0.0,0.0,0.40654639420567573,0.0,0.0,1.164018931133226,0.0,0.0,0.315112267376394,0.0,0.0,-0.1841573157425852
2010-03-23,6.848753929138184,6.861350454694232,6.720991572468423,6.767178031993405,602431200,AAPL,1,23,12,3,1,2010,0,0,False,False,6.740487098693848,6.665509223937988,6.737487316131592,6.731490612030029,0.0,6.777976360460379,6.755182491732861,6.747984020171499,6.747385830812531,0.0,6.602528345223085,6.6349180607123674,6.676305394243688,6.673308249083255,0.0,456419600.0,559445600.0,342109600.0,446908000.0,0.0,0.442286009809445,-0.748805357811988,3.279885827896045,5.359977297029195,1.6062167148916506,2.7491478751856535,1.7420111512684855,0.0,2.049407580971037,0.14035888222580972,0.39597929509766683,1.2054640318181356,-0.1835866807740559,1.9009450509225625,1.054757012334275,0.0,0.0,0.12062417502083686,0.0,0.0,1.7420111512684855,0.0,0.0,24.915089508720968,0.0,0.0,1.5718703993308436,0.0,0.0,0.319906507082518
2010-03-24,6.879045009613037,6.90393774243333,6.823261198612478,6.827160523520049,597780400,AAPL,2,24,12,3,1,2010,0,0,False,False,6.848753929138184,6.740487098693848,6.665509223937988,6.721594333648682,0.0,6.861350454694232,6.777976360460379,6.755182491732861,6.791473078739215,0.0,6.720991572468423,6.602528345223085,6.6349180607123674,6.696102158046439,0.0,602431200.0,456419600.0,559445600.0,450956800.0,0.0,-1.185846534302415,0.6670339099774214,2.4545342314366225,4.612618959833581,0.442286009809445,2.0556067965182834,2.3424602579204867,0.0,1.1727869741819021,0.08067654382085188,-0.31528955254568547,0.7599716736444476,-0.36055847762496235,0.8175535037688841,1.0175425496669515,0.0,0.0,0.117685299646452,0.10805821235870035,0.0,2.3424602579204867,0.0,0.0,16.83675591426801,25.279393944728557,0.0,1.546863391876263,1.7662669655291952,0.0,-0.007720051683910101
