date,close,high,low,open,volume,ticker,day_of_week,day_of_month,week_of_year,month,quarter,year,is_month_start,is_month_end,is_week_start,is_week_end,close_lag_1,close_lag_2,close_lag_3,close_lag_5,close_lag_10,high_lag_1,high_lag_2,high_lag_3,high_lag_5,high_lag_10,low_lag_1,low_lag_2,low_lag_3,low_lag_5,low_lag_10,volume_lag_1,volume_lag_2,volume_lag_3,volume_lag_5,volume_lag_10,future_return_1d,future_return_2d,future_return_5d,future_return_10d,past_return_1d,past_return_2d,past_return_5d,past_return_10d,daily_range,daily_range_abs,gap,close_to_open,close_to_high,close_to_low,volatility_5d,volatility_10d,volatility_21d,atr_5d,atr_10d,atr_21d,momentum_5d,momentum_10d,momentum_21d,volume_change_5d,volume_change_10d,volume_change_21d,close_to_ma_5d,close_to_ma_10d,close_to_ma_21d,volume_change_rate
2010-03-11,21.909242630004883,21.916751109738826,21.661468527169227,21.691501014008903,35349700,MSFT,3,11,10,3,1,2010,0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30844225517863144,0.3769646652974856,1.4736366316921767,2.8444330612837243,0.0,0.0,0.0,0.0,1.1651821419878179,0.255282582569599,0.0,1.0038107360821036,-0.03425909112325699,1.1438472074267805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-12,21.97681999206543,22.059410414253648,21.804129235012688,22.014360962869507,31700200,MSFT,4,12,10,3,1,2010,0,0,False,True,21.909242630004883,0.0,0.0,0.0,0.0,21.916751109738826,0.0,0.0,0.0,0.0,21.661468527169227,0.0,0.0,0.0,0.0,35349700.0,0.0,0.0,0.0,0.0,0.06831170794632246,0.34162797101904285,1.0932737312018048,1.3324384797568367,0.30844225517863144,0.0,0.0,0.0,1.1615928934810738,0.25528117924095994,0.47978989798882193,-0.17052945968949754,-0.3743999528421334,0.7920094179933489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10323991434156443
2010-03-15,21.991832733154297,22.05189913417226,21.78159961354343,21.909240894718604,37512000,MSFT,0,15,11,3,1,2010,0,0,True,False,21.97681999206543,21.909242630004883,0.0,0.0,0.0,22.059410414253648,21.916751109738826,0.0,0.0,0.0,21.804129235012688,21.661468527169227,0.0,0.0,0.0,31700200.0,35349700.0,0.0,0.0,0.0,0.27312968352100064,1.1608098279505041,1.0583905331232657,1.0242623321625288,0.06831170794632246,0.3769646652974856,0.0,0.0,1.2290904714882278,0.27029952062882856,-0.30750171030761014,0.37697261549396077,-0.27238652168911004,0.9651867784776761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833363827357557
2010-03-16,22.051898956298828,22.141997841051047,21.924257676153225,22.089439919596263,36723500,MSFT,1,16,11,3,1,2010,0,0,False,False,21.991832733154297,21.97681999206543,21.909242630004883,0.0,0.0,22.05189913417226,22.059410414253648,21.916751109738826,0.0,0.0,21.78159961354343,21.804129235012688,21.661468527169227,0.0,0.0,37512000.0,31700200.0,35349700.0,0.0,0.0,0.8852622305010049,0.817191749269508,1.7364892203862725,1.361980482540992,0.27312968352100064,0.34162797101904285,0.0,0.0,0.9873987057954843,0.21774016489782255,0.443833797875408,-0.16994981961552952,-0.4069139803869768,0.5821920268910052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02101994028577525
2010-03-17,22.247116088867188,22.427316742043164,22.074425347677657,22.149508714484963,50385700,MSFT,2,17,11,3,1,2010,0,0,False,False,22.051898956298828,21.991832733154297,21.97681999206543,0.0,0.0,22.141997841051047,22.05189913417226,22.059410414253648,0.0,0.0,21.924257676153225,21.78159961354343,21.804129235012688,0.0,0.0,36723500.0,37512000.0,31700200.0,0.0,0.0,-0.06747316677034876,-0.13498062739928374,0.0675160340935621,-1.1474896552575609,0.8852622305010049,1.1608098279505041,0.0,0.0,1.586234336872542,0.352891394365507,0.44263652023606653,0.440675121242726,-0.8034873509329141,0.7823113783013989,0.0,0.0,0.0,0.2748042466163092,0.0,0.0,0.0,0.0,0.0,31.437916305588054,0.0,0.0,0.9608819489474119,0.0,0.0,0.37202880989012477
2010-03-18,22.232105255126953,22.314695687166108,22.149513390991387,22.24712078598181,43845200,MSFT,3,18,11,3,1,2010,0,0,False,False,22.247116088867188,22.051898956298828,21.991832733154297,21.909242630004883,0.0,22.427316742043164,22.141997841051047,22.05189913417226,21.916751109738826,0.0,22.074425347677657,21.924257676153225,21.78159961354343,21.661468527169227,0.0,50385700.0,36723500.0,37512000.0,35349700.0,0.0,-0.06755304080481306,-0.03379367890908869,1.3508892310295062,-1.5197375160282078,-0.06747316677034876,0.817191749269508,1.4736366316921767,0.0,0.7429898980737655,0.16518229617472002,2.111336410447223e-05,-0.0674942658841428,-0.37011677504817947,0.37288342492055493,0.36463411328045475,0.0,0.0,0.2567841893373334,0.0,0.0,1.4736366316921767,0.0,0.0,9.521768366950333,0.0,0.0,0.5979679704586571,0.0,0.0,-0.12980865602740466
2010-03-19,22.217086791992188,22.44984397363454,22.03688754503395,22.344728104266313,81332100,MSFT,4,19,11,3,1,2010,0,0,False,True,22.232105255126953,22.247116088867188,22.051898956298828,21.97681999206543,0.0,22.314695687166108,22.427316742043164,22.141997841051047,22.059410414253648,0.0,22.149513390991387,22.074425347677657,21.924257676153225,21.804129235012688,0.0,43845200.0,50385700.0,36723500.0,31700200.0,0.0,0.03378218278744516,0.9800610431594636,0.2365783001458066,-1.0814505167858424,-0.06755304080481306,-0.13498062739928374,1.0932737312018048,0.0,1.8587334715253252,0.4129564286005909,0.5065775276202766,-0.5712368111105124,-1.0367875247405103,0.8177164156689041,0.39803255405532045,0.0,0.0,0.2883192392092596,0.0,0.0,1.0932737312018048,0.0,0.0,62.79541310296099,0.0,0.0,0.3118963430624788,0.0,0.0,0.8549829855947744
2010-03-22,22.224592208862305,22.29967557610059,22.06691699445229,22.149508841624016,37718200,MSFT,0,22,12,3,1,2010,0,0,True,False,22.217086791992188,22.232105255126953,22.247116088867188,21.991832733154297,0.0,22.44984397363454,22.314695687166108,22.427316742043164,22.05189913417226,0.0,22.03688754503395,22.149513390991387,22.074425347677657,21.78159961354343,0.0,81332100.0,43845200.0,50385700.0,37512000.0,0.0,0.9459592946740036,0.16893111079583356,-0.03377077428274866,-0.9459335482132736,0.03378218278744516,-0.03379367890908869,1.0583905331232657,0.0,1.0473019232968714,0.23275858164830154,-0.3041710688753719,0.33898434396518085,-0.33670161246092317,0.7145321408045192,0.4015700394262732,0.0,0.0,0.2808110514131542,0.0,0.0,1.0583905331232657,0.0,0.0,-24.56501817765826,0.0,0.0,0.13531400857660358,0.0,0.0,-0.5362446069878928
2010-03-23,22.43482780456543,22.449844767033408,22.081937779146113,22.217087577165195,42026600,MSFT,1,23,12,3,1,2010,0,0,False,False,22.224592208862305,22.217086791992188,22.232105255126953,22.051898956298828,0.0,22.29967557610059,22.44984397363454,22.314695687166108,22.141997841051047,0.0,22.06691699445229,22.03688754503395,22.149513390991387,21.924257676153225,0.0,37718200.0,81332100.0,43845200.0,36723500.0,0.0,-0.7697466934856734,0.4350760662594322,-0.3681164356222122,-1.7737585751643525,0.9459592946740036,0.9800610431594636,1.7364892203862725,0.0,1.639892185009002,0.36790698788729514,-0.03376724138100105,0.9800574744280564,-0.06689116394261256,1.5980935593097334,0.5220682548748727,0.0,0.0,0.31084441601104873,0.0,0.0,1.7364892203862725,0.0,0.0,-17.69424984273884,0.0,0.0,0.7349517505870651,0.0,0.0,0.11422602351119626
2010-03-24,22.262136459350582,22.41230321597171,22.22459548624347,22.31469439453908,33987700,MSFT,2,24,12,3,1,2010,0,0,False,False,22.43482780456543,22.224592208862305,22.217086791992188,22.247116088867188,0.0,22.449844767033408,22.29967557610059,22.44984397363454,22.427316742043164,0.0,22.081937779146113,22.06691699445229,22.03688754503395,22.074425347677657,0.0,42026600.0,37718200.0,81332100.0,50385700.0,0.0,1.2141687838118198,0.03373952419047921,-1.2141859191719728,0.9106073105786816,-0.7697466934856734,0.16893111079583356,0.0675160340935621,0.0,0.8431703312527337,0.1877077297282419,-0.5354772992815269,-0.23553060713823354,-0.6700192977672876,0.1689163392438348,0.6116539420400721,0.0,0.0,0.2778073225265736,0.2763057845714414,0.0,0.0675160340935621,0.0,0.0,-28.869179916437083,-21.06547224923353,0.0,-0.05393357227353457,0.4846386905871247,0.0,-0.19128123616947357
